ID,country,date
EPI_ISL_9712249|DJI/NAMRU3_A589/2021,Djibouti,2021-12-29
EPI_ISL_3845307|DJI/NAMRU3_A04/2020,Djibouti,2020-11-16
EPI_ISL_9712324|DJI/NAMRU3_H930/2021,Djibouti,2021-12-23
EPI_ISL_9712310|DJI/NAMRU3_H827/2021,Djibouti,2021-12-25
EPI_ISL_11533176|DJI/NAMRU3_B674/2022,Djibouti,2022-01-20
EPI_ISL_9712244|DJI/NAMRU3_A575/2021,Djibouti,2021-12-30
EPI_ISL_10038170|DJI/NAMRU3_A754_2021/2021,Djibouti,2021-12-31
EPI_ISL_10038199|DJI/NAMRU3_A937_2022/2022,Djibouti,2022-01-03
EPI_ISL_11533171|DJI/NAMRU3_B546/2022,Djibouti,2022-01-18
EPI_ISL_11533177|DJI/NAMRU3_B675/2022,Djibouti,2022-01-19
EPI_ISL_9712236|DJI/NAMRU3_A537/2021,Djibouti,2021-12-31
EPI_ISL_9712212|DJI/NAMRU3_A407/2021,Djibouti,2021-12-31
EPI_ISL_10038210|DJI/NAMRU3_A941_2022/2022,Djibouti,2022-01-03
EPI_ISL_11533209|DJI/NAMRU3_C112/2022,Djibouti,2022-01-26
EPI_ISL_11533156|DJI/NAMRU3_B309/2022,Djibouti,2022-01-07
EPI_ISL_9712185|DJI/NAMRU3_A136/2022,Djibouti,2022-01-03
EPI_ISL_11533150|DJI/NAMRU3_B236/2022,Djibouti,2022-01-07
EPI_ISL_9712201|DJI/NAMRU3_A177/2022,Djibouti,2022-01-03
EPI_ISL_11533158|DJI/NAMRU3_B312/2022,Djibouti,2022-01-08
EPI_ISL_9712314|DJI/NAMRU3_H884/2021,Djibouti,2021-12-25
EPI_ISL_6693740|DJI/NAMRU3_C121/2021,Djibouti,2021-08-06
EPI_ISL_9712238|DJI/NAMRU3_A542/2021,Djibouti,2021-12-30
EPI_ISL_9712227|DJI/NAMRU3_A469/2021,Djibouti,2021-12-29
EPI_ISL_1936300|EGY/PHARCO-ARMY40/2021,Egypt,2021-03-13
EPI_ISL_6011780|EGY/CCHE57357_Wave_4_109/2021,Egypt,2021-10-19
EPI_ISL_11259852|KEN/SS5230/2021,Kenya,2021-12-26
EPI_ISL_12560982|KEN/SS7399/2021,Kenya,2021-12-31
EPI_ISL_11260203|KEN/SS6384/2022,Kenya,2022-01-05
EPI_ISL_806660|KEN/C17244/2020,Kenya,2020-06-11
EPI_ISL_11116826|KEN/C113887/2022,Kenya,2022-01-11
EPI_ISL_1610516|KEN/C88529/2021,Kenya,2021-03-23
EPI_ISL_4739500|KEN/C108336/2021,Kenya,2021-08-30
EPI_ISL_11260172|KEN/SS6283/2022,Kenya,2022-01-08
EPI_ISL_11260119|KEN/SS6224/2021,Kenya,2021-12-30
EPI_ISL_12905530|KEN/SS8282/2022,Kenya,2022-01-10
EPI_ISL_12561098|KEN/SS7935/2022,Kenya,2022-01-04
EPI_ISL_11561300|KEN/SS6838/2022,Kenya,2022-01-14
EPI_ISL_11260002|KEN/SS5999/2021,Kenya,2021-12-24
EPI_ISL_11116693|KEN/C172957/2022,Kenya,2022-01-04
EPI_ISL_12561074|KEN/SS7992/2022,Kenya,2022-01-05
EPI_ISL_11561298|KEN/SS6829/2022,Kenya,2022-01-14
EPI_ISL_12905614|KEN/SS8390/2022,Kenya,2022-05-12
EPI_ISL_11116751|KEN/C113398/2021,Kenya,2021-12-22
EPI_ISL_8886263|GAB/14698-19B_Gabon/2021,Gabon,2021-03-05
EPI_ISL_4026525|NGA/BCVL-25700/2021,Nigeria,2021-04-19
EPI_ISL_12561034|KEN/SS7499/2022,Kenya,2022-03-20
EPI_ISL_11260035|KEN/SS6122/2022,Kenya,2022-01-14
EPI_ISL_12561023|KEN/SS7484/2022,Kenya,2022-01-05
EPI_ISL_6262711|KEN/C67375/2020,Kenya,2020-10-28
EPI_ISL_11220552|KEN/SS6720/2022,Kenya,2022-01-08
EPI_ISL_12561024|KEN/SS7485/2022,Kenya,2022-01-28
EPI_ISL_11116842|KEN/C113980/2022,Kenya,2022-01-14
EPI_ISL_12561056|KEN/SS7955/2022,Kenya,2022-01-03
EPI_ISL_12563863|KEN/SS7394/2022,Kenya,2022-01-03
EPI_ISL_11259796|KEN/SS5137/2021,Kenya,2021-12-15
EPI_ISL_11259777|KEN/SS5104/2021,Kenya,2021-12-14
EPI_ISL_11561326|KEN/SS6880/2022,Kenya,2022-01-20
EPI_ISL_4026560|NGA/BCVL-26930/2021,Nigeria,2021-08-02
EPI_ISL_12561956|KEN/SS7798/2021,Kenya,2021-12-21
EPI_ISL_12560990|KEN/SS7440/2022,Kenya,2022-01-03
EPI_ISL_11561408|KEN/SS7046/2021,Kenya,2021-12-16
EPI_ISL_8886145|GAB/7562-KS1_Gabon/2020,Gabon,2020-07-18
EPI_ISL_12561962|KEN/SS7807/2021,Kenya,2021-12-20
EPI_ISL_11561277|KEN/SS6798/2022,Kenya,2022-01-12
EPI_ISL_11220566|KEN/SS6734/2022,Kenya,2022-01-06
EPI_ISL_11260041|KEN/SS6141/2022,Kenya,2022-01-12
EPI_ISL_11220524|KEN/SS6692/2022,Kenya,2022-01-26
EPI_ISL_11116791|KEN/C113670/2022,Kenya,2022-01-06
EPI_ISL_11116758|KEN/C113450/2021,Kenya,2021-12-21
EPI_ISL_11220483|KEN/SS6631/2022,Kenya,2022-01-05
EPI_ISL_11116716|KEN/C113293/2021,Kenya,2021-12-21
EPI_ISL_12561051|KEN/SS7943/2022,Kenya,2022-01-05
EPI_ISL_11259973|KEN/SS5392/2021,Kenya,2021-12-23
EPI_ISL_8886326|GAB/5382_Gabon/2021,Gabon,2021-05-12
EPI_ISL_12561965|KEN/SS7812/2021,Kenya,2021-12-20
EPI_ISL_11220592|KEN/SS6762/2022,Kenya,2022-03-08
EPI_ISL_11260077|KEN/SS6182/2021,Kenya,2021-12-19
EPI_ISL_11259775|KEN/SS5088/2021,Kenya,2021-12-09
EPI_ISL_11259906|KEN/SS5293/2021,Kenya,2021-12-27
EPI_ISL_11561362|KEN/SS6927/2022,Kenya,2022-01-05
EPI_ISL_11259638|KEN/SS4933/2021,Kenya,2021-12-23
EPI_ISL_11259644|KEN/SS4939/2021,Kenya,2021-12-20
EPI_ISL_11259373|KEN/SS4338/2021,Kenya,2021-12-15
EPI_ISL_12561113|KEN/SS7999/2022,Kenya,2022-01-03
EPI_ISL_12561011|KEN/SS7471/2022,Kenya,2022-01-03
EPI_ISL_11561304|KEN/SS6845/2022,Kenya,2022-01-14
EPI_ISL_11259639|KEN/SS4934/2021,Kenya,2021-12-24
EPI_ISL_944706|GHA/WACCBIP_nCoV_GS155/2021,Ghana,2021-01-13
EPI_ISL_11116822|KEN/C113818/2022,Kenya,2022-01-11
EPI_ISL_4273941|MLI/MAL0037/2021,Mali,2021-01-05
EPI_ISL_12561064|KEN/SS7973/2022,Kenya,2022-01-04
EPI_ISL_12905611|KEN/SS8387/2022,Kenya,2022-05-09
EPI_ISL_11561299|KEN/SS6832/2022,Kenya,2022-01-14
EPI_ISL_11116774|KEN/C113575/2022,Kenya,2022-01-03
EPI_ISL_4197055|KEN/SS2049/2021,Kenya,2021-08-22
EPI_ISL_12561949|KEN/SS7769/2021,Kenya,2021-12-20
EPI_ISL_12561048|KEN/SS7937/2022,Kenya,2022-01-01
EPI_ISL_11116796|KEN/C113683/2022,Kenya,2022-01-07
EPI_ISL_469054|MAR/RMPS06/2020,Morocco,2020-04-01
EPI_ISL_11260183|KEN/SS6305/2022,Kenya,2022-01-28
EPI_ISL_11116778|KEN/C113600/2022,Kenya,2022-01-05
EPI_ISL_12561908|SYC/SS7512/2022,Seychelles,2022-01-03
EPI_ISL_8424458|SYC/SS4881/2021,Seychelles,2021-12-03
EPI_ISL_12561831|SYC/SS7625/2022,Seychelles,2022-01-10
EPI_ISL_12561890|SYC/SS7615/2022,Seychelles,2022-01-10
EPI_ISL_12561748|SYC/SS7616/2022,Seychelles,2022-01-10
EPI_ISL_12561895|SYC/SS7543/2022,Seychelles,2022-01-05
EPI_ISL_12561750|SYC/SS7585/2022,Seychelles,2022-01-07
EPI_ISL_512819|SLE/KGH-G-8668/2020,Sierra Leone,2020-04-13
EPI_ISL_12561911|SYC/SS7586/2022,Seychelles,2022-01-07
EPI_ISL_12561914|SYC/SS7598/2022,Seychelles,2022-01-09
EPI_ISL_12561814|SYC/SS7721/2022,Seychelles,2022-01-24
EPI_ISL_12561883|SYC/SS7640/2022,Seychelles,2022-01-11
EPI_ISL_12561874|SYC/SS7759/2022,Seychelles,2022-01-31
EPI_ISL_12561880|SYC/SS7744/2022,Seychelles,2022-01-28
EPI_ISL_12561866|SYC/SS7681/2022,Seychelles,2022-01-17
EPI_ISL_12561863|SYC/SS7595/2022,Seychelles,2022-01-08
EPI_ISL_12561884|SYC/SS7749/2022,Seychelles,2022-01-29
EPI_ISL_12561836|SYC/SS7593/2022,Seychelles,2022-01-08
EPI_ISL_12561778|SYC/SS7605/2022,Seychelles,2022-01-10
EPI_ISL_12561923|SYC/SS7608/2022,Seychelles,2022-01-10
EPI_ISL_12561924|SYC/SS7623/2022,Seychelles,2022-01-10
EPI_ISL_11970906|SouthAfrica/NHLS-UCT-GS-BH51/2022,South Africa,2022-03-14
EPI_ISL_12221539|SouthAfrica/NHLS-UCT-GS-BH78/2022,South Africa,2022-03-28
EPI_ISL_10239043|SouthAfrica/NHLS-UCT-LA-Z850/2022,South Africa,2022-01-26
EPI_ISL_9871021|SouthAfrica/NHLS-UCT-GP-N668/2022,South Africa,2022-01-20
EPI_ISL_10238981|SouthAfrica/NHLS-UCT-GP-N814/2022,South Africa,2022-01-24
EPI_ISL_8975047|SouthAfrica/NHLS-UCT-GP-N334/2021,South Africa,2021-12-20
EPI_ISL_10589279|SouthAfrica/NHLS-UCT-GS-AZ43/2021,South Africa,2021-12-22
EPI_ISL_8975100|SouthAfrica/NHLS-UCT-GP-N344/2021,South Africa,2021-12-22
EPI_ISL_11970869|SouthAfrica/NHLS-UCT-GP-O550/2022,South Africa,2022-03-18
EPI_ISL_10238986|SouthAfrica/NHLS-UCT-GP-N820/2022,South Africa,2022-01-24
EPI_ISL_11971002|SouthAfrica/NHLS-UCT-LA-Z913/2022,South Africa,2022-03-02
EPI_ISL_10238992|SouthAfrica/NHLS-UCT-GP-N826/2022,South Africa,2022-01-25
EPI_ISL_9573254|SouthAfrica/NHLS-UCT-GP-N610/2022,South Africa,2022-01-12
EPI_ISL_9871032|SouthAfrica/NHLS-UCT-GP-N732/2022,South Africa,2022-01-21
EPI_ISL_10239048|SouthAfrica/NHLS-UCT-LA-Z855/2022,South Africa,2022-01-26
EPI_ISL_8975070|SouthAfrica/NHLS-UCT-GP-N332/2021,South Africa,2021-12-20
EPI_ISL_8974990|SouthAfrica/NHLS-UCT-GS-AF87/2021,South Africa,2021-12-15
EPI_ISL_11970942|SouthAfrica/NHLS-UCT-GP-O245/2022,South Africa,2022-03-01
EPI_ISL_11265099|SouthAfrica/NHLS-UCT-GS-BD39/2022,South Africa,2022-02-21
EPI_ISL_11111419|SouthAfrica/NHLS-UCT-GS-BD10/2022,South Africa,2022-02-16
EPI_ISL_12221524|SouthAfrica/NHLS-UCT-GS-BH80/2022,South Africa,2022-03-31
EPI_ISL_11111422|SouthAfrica/NHLS-UCT-LA-Z887/2022,South Africa,2022-02-16
EPI_ISL_8975028|SouthAfrica/NHLS-UCT-GS-AF99/2021,South Africa,2021-12-24
EPI_ISL_11970883|SouthAfrica/NHLS-UCT-GS-AY70/2021,South Africa,2021-12-08
EPI_ISL_700471|SouthAfrica/NHLS-UCT-GP-5256/2020,South Africa,2020-04-30
EPI_ISL_11111425|SouthAfrica/NHLS-UCT-LA-Z890/2022,South Africa,2022-02-16
EPI_ISL_11111440|SouthAfrica/NHLS-UCT-GP-O024/2022,South Africa,2022-02-14
EPI_ISL_9871072|SouthAfrica/NHLS-UCT-LA-Z841/2022,South Africa,2022-01-19
EPI_ISL_9871065|SouthAfrica/NHLS-UCT-GS-AY66/2021,South Africa,2021-12-07
EPI_ISL_7544508|SouthAfrica/NHLS-UCT-LA-Z749/2021,South Africa,2021-11-24
EPI_ISL_10238999|SouthAfrica/NHLS-UCT-GP-N833/2022,South Africa,2022-01-26
EPI_ISL_8975049|SouthAfrica/NHLS-UCT-GS-AF75/2021,South Africa,2021-12-08
EPI_ISL_9573269|SouthAfrica/NHLS-UCT-GS-AW87/2021,South Africa,2021-12-15
EPI_ISL_11789834|SouthAfrica/NHLS-UCT-LA-Z932/2022,South Africa,2022-03-09
EPI_ISL_8975134|SouthAfrica/NHLS-UCT-GS-AG26/2021,South Africa,2021-12-29
EPI_ISL_12221536|SouthAfrica/NHLS-UCT-GP-O597/2022,South Africa,2022-03-28
EPI_ISL_10239052|SouthAfrica/NHLS-UCT-LA-Z859/2022,South Africa,2022-01-26
EPI_ISL_9573294|SouthAfrica/NHLS-UCT-LA-Z830/2022,South Africa,2022-01-11
EPI_ISL_8975111|SouthAfrica/NHLS-UCT-GP-N363/2021,South Africa,2021-12-29
EPI_ISL_10589309|SouthAfrica/NHLS-UCT-GS-AZ23/2022,South Africa,2022-02-01
EPI_ISL_10589319|SouthAfrica/NHLS-UCT-GP-N851/2022,South Africa,2022-02-02
EPI_ISL_12221522|SouthAfrica/NHLS-UCT-GS-BH62/2022,South Africa,2022-03-20
EPI_ISL_12221557|SouthAfrica/NHLS-UCT-LA-Z967/2022,South Africa,2022-03-30
EPI_ISL_12221531|SouthAfrica/NHLS-UCT-GS-BH72/2022,South Africa,2022-03-24
EPI_ISL_12221562|SouthAfrica/NHLS-UCT-GP-O576/2022,South Africa,2022-03-25
EPI_ISL_8975057|SouthAfrica/NHLS-UCT-LA-Z789/2022,South Africa,2022-01-04
EPI_ISL_6010203|SouthAfrica/NHLS-UCT-GS-AD69/2021,South Africa,2021-10-06
EPI_ISL_10589318|SouthAfrica/NHLS-UCT-GP-N850/2022,South Africa,2022-02-02
EPI_ISL_11970936|SouthAfrica/NHLS-UCT-GP-O238/2022,South Africa,2022-03-01
EPI_ISL_9573281|SouthAfrica/NHLS-UCT-GS-AX04/2022,South Africa,2022-01-12
EPI_ISL_11111460|SouthAfrica/NHLS-UCT-GS-AS21/2021,South Africa,2021-12-14
EPI_ISL_9573235|SouthAfrica/NHLS-UCT-GP-N590/2022,South Africa,2022-01-10
EPI_ISL_8975084|SouthAfrica/NHLS-UCT-GS-AG62/2022,South Africa,2022-01-05
EPI_ISL_11970967|SouthAfrica/NHLS-UCT-GS-BG95/2022,South Africa,2022-03-03
EPI_ISL_8975108|SouthAfrica/NHLS-UCT-GS-AG41/2021,South Africa,2021-12-31
EPI_ISL_2001063|TGO/nmimr-TG-SARS-CoV-2-TGS-040-21/2021,Togo,2021-01-12
EPI_ISL_10815270|ZAF/SCV2-GP-O004/2022,South Africa,2022-02-11
EPI_ISL_10815303|ZAF/SCV2-GS-BC91/2022,South Africa,2022-02-09
EPI_ISL_10815301|ZAF/SCV2-GS-BC89/2022,South Africa,2022-02-09
EPI_ISL_10815279|ZAF/SCV2-GS-AZ45/2021,South Africa,2021-12-22
EPI_ISL_10815328|ZAF/SCV2-LA-Z881/2022,South Africa,2022-02-09
EPI_ISL_11761598|hCoV-19/Liberia/NMIMR-LIB-860112/2021,Liberia,2021-12-21
EPI_ISL_11761605|hCoV-19/Liberia/NMIMR-LIB-170307/2021,Liberia,2021-12-27
EPI_ISL_11761606|hCoV-19/Liberia/NMIMR-LIB-110576/2021,Liberia,2021-12-27
EPI_ISL_11761607|hCoV-19/Liberia/NMIMR-LIB-865283/2021,Liberia,2021-12-28
EPI_ISL_11761611|hCoV-19/Liberia/NMIMR-LIB-865998/2021,Liberia,2021-12-27
EPI_ISL_11761619|hCoV-19/Liberia/NMIMR-LIB-860077/2021,Liberia,2021-12-21
EPI_ISL_11761623|hCoV-19/Liberia/NMIMR-LIB-867515/2021,Liberia,2021-12-21
EPI_ISL_11761626|hCoV-19/Liberia/NMIMR-LIB-860944/2021,Liberia,2021-12-27
EPI_ISL_11761629|hCoV-19/Liberia/NMIMR-LIB-854571/2021,Liberia,2021-12-14
EPI_ISL_3547685|hCoV-19/Liberia/LIB-0073/2021,Liberia,2021-07-08
EPI_ISL_3547686|hCoV-19/Liberia/LIB-0074/2021,Liberia,2021-07-08
EPI_ISL_3547687|hCoV-19/Liberia/LIB-0076/2021,Liberia,2021-07-08
EPI_ISL_3547688|hCoV-19/Liberia/LIB-0078/2021,Liberia,2021-07-08
EPI_ISL_3547689|hCoV-19/Liberia/LIB-0084/2021,Liberia,2021-07-09
EPI_ISL_3547690|hCoV-19/Liberia/LIB-0085/2021,Liberia,2021-07-09
EPI_ISL_3547691|hCoV-19/Liberia/LIB-0094/2021,Liberia,2021-07-10
EPI_ISL_3560291|hCoV-19/Liberia/LIB-0093/2021,Liberia,2021-07-08